"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.05.2022","266,68","273,10","275,12","258,08","84,40M","1,64%"
"11.05.2022","244,67","265,00","269,92","242,40","97,23M","-8,25%"
"12.05.2022","242,67","233,67","253,22","226,67","140,31M","-0,82%"
"13.05.2022","256,53","257,83","262,45","250,52","92,15M","5,71%"
"16.05.2022","241,46","255,72","256,59","239,70","86,10M","-5,88%"
"17.05.2022","253,87","249,12","254,83","242,95","80,24M","5,14%"
"18.05.2022","236,60","248,17","253,50","233,60","87,81M","-6,80%"
"19.05.2022","236,47","235,67","244,67","231,37","90,30M","-0,05%"
"20.05.2022","221,30","238,00","240,53","211,00","144,97M","-6,42%"
"23.05.2022","224,97","218,34","226,65","212,69","88,90M","1,66%"
"24.05.2022","209,39","217,84","217,97","206,86","89,09M","-6,93%"
"25.05.2022","219,60","207,95","223,11","207,67","92,14M","4,88%"
"26.05.2022","235,91","220,47","239,56","217,89","106,00M","7,43%"
"27.05.2022","253,21","241,08","253,27","240,18","89,30M","7,33%"
"31.05.2022","252,75","257,95","259,60","244,74","101,91M","-0,18%"
"01.06.2022","246,79","251,72","257,33","243,64","77,25M","-2,36%"
"02.06.2022","258,33","244,16","264,21","242,07","93,47M","4,68%"
"03.06.2022","234,52","243,22","247,80","233,42","112,39M","-9,22%"
"06.06.2022","238,28","244,35","244,87","234,35","84,21M","1,60%"
"07.06.2022","238,89","234,00","240,00","230,09","72,81M","0,25%"
"08.06.2022","241,87","240,09","249,96","239,18","76,21M","1,25%"
"09.06.2022","239,71","249,34","255,55","239,33","96,49M","-0,89%"
"10.06.2022","232,23","235,16","239,50","227,91","98,09M","-3,12%"
"13.06.2022","215,74","223,17","226,63","214,68","102,77M","-7,10%"
"14.06.2022","220,89","218,29","226,33","211,74","97,99M","2,39%"
"15.06.2022","233,00","220,92","235,66","218,15","119,13M","5,48%"
"16.06.2022","213,10","222,74","225,17","208,69","107,39M","-8,54%"
"17.06.2022","216,76","213,43","220,97","213,20","92,64M","1,72%"
"21.06.2022","237,04","224,60","243,58","224,33","122,79M","9,35%"
"22.06.2022","236,09","234,50","246,83","233,83","101,53M","-0,40%"
"23.06.2022","235,07","237,90","239,32","228,64","104,20M","-0,43%"
"24.06.2022","245,71","237,47","246,07","236,09","95,77M","4,52%"
"27.06.2022","244,92","249,37","252,07","242,57","89,18M","-0,32%"
"28.06.2022","232,66","244,48","249,97","232,34","90,67M","-5,00%"
"29.06.2022","228,49","230,50","231,17","222,27","82,90M","-1,79%"
"30.06.2022","224,47","224,51","229,46","218,86","94,60M","-1,76%"
"01.07.2022","227,26","227,00","230,23","222,12","74,46M","1,24%"
"05.07.2022","233,07","223,00","233,15","216,17","84,78M","2,55%"
"06.07.2022","231,73","230,78","234,56","227,19","71,85M","-0,57%"
"07.07.2022","244,54","233,92","245,36","232,21","81,93M","5,53%"
"08.07.2022","250,76","242,33","254,98","241,16","101,85M","2,54%"
"11.07.2022","234,34","252,10","253,06","233,63","99,51M","-6,55%"
"12.07.2022","233,07","236,85","239,77","228,37","87,93M","-0,54%"
"13.07.2022","237,04","225,50","242,06","225,03","97,96M","1,70%"
"14.07.2022","238,31","234,90","238,65","229,33","78,56M","0,54%"
"15.07.2022","240,07","240,00","243,62","236,89","69,68M","0,74%"
"18.07.2022","240,55","244,94","250,52","239,60","82,54M","0,20%"
"19.07.2022","245,53","245,00","247,14","236,98","80,89M","2,07%"
"20.07.2022","247,50","246,78","250,66","243,48","88,86M","0,80%"
"21.07.2022","271,71","255,11","273,27","254,87","142,03M","9,78%"
"22.07.2022","272,24","276,22","280,79","270,71","103,47M","0,20%"
"25.07.2022","268,43","272,22","274,15","267,40","64,07M","-1,40%"
"26.07.2022","258,86","266,51","267,31","256,26","66,82M","-3,57%"
"27.07.2022","274,82","263,81","275,93","261,79","88,11M","6,17%"
"28.07.2022","280,90","280,07","283,30","272,80","84,72M","2,21%"
"29.07.2022","297,15","280,70","298,32","279,10","95,31M","5,78%"
"01.08.2022","297,28","301,27","311,88","295,00","117,04M","0,04%"
"02.08.2022","300,59","294,00","307,83","292,67","95,58M","1,11%"
"03.08.2022","307,40","305,00","309,55","301,15","80,09M","2,27%"
"04.08.2022","308,63","311,00","313,61","305,00","72,26M","0,40%"
"05.08.2022","288,17","302,67","304,61","285,54","113,17M","-6,63%"
"08.08.2022","290,42","295,00","305,20","289,09","99,37M","0,78%"
"09.08.2022","283,33","290,29","292,40","279,35","86,25M","-2,44%"
"10.08.2022","294,36","297,07","297,51","283,37","94,92M","3,89%"
"11.08.2022","286,63","296,51","298,24","285,83","70,16M","-2,62%"
"12.08.2022","300,03","289,41","300,16","285,03","79,66M","4,68%"
"15.08.2022","309,32","301,79","313,13","301,23","89,36M","3,10%"
"16.08.2022","306,56","311,67","314,67","302,88","88,14M","-0,89%"
"17.08.2022","304,00","303,40","309,66","300,03","68,77M","-0,84%"
"18.08.2022","302,87","306,00","306,50","301,85","47,50M","-0,37%"
"19.08.2022","296,67","299,00","300,36","292,50","61,40M","-2,05%"
"22.08.2022","289,91","291,91","292,40","286,30","55,84M","-2,28%"
"23.08.2022","296,45","291,45","298,83","287,92","63,99M","2,26%"
"24.08.2022","297,10","297,56","303,65","296,50","57,26M","0,22%"
"25.08.2022","296,07","302,36","302,96","291,60","53,23M","-0,35%"
"26.08.2022","288,09","297,43","302,00","287,47","57,16M","-2,70%"
"29.08.2022","284,82","282,83","287,74","280,70","41,87M","-1,14%"
"30.08.2022","277,70","287,86","288,48","272,65","50,54M","-2,50%"
"31.08.2022","275,61","280,62","281,25","271,81","52,11M","-0,75%"
"01.09.2022","277,16","272,58","277,58","266,15","54,29M","0,56%"
"02.09.2022","270,21","281,07","282,35","269,08","50,89M","-2,51%"
"06.09.2022","274,42","272,67","275,99","265,74","55,86M","1,56%"
"07.09.2022","283,70","273,10","283,84","272,27","50,03M","3,38%"
"08.09.2022","289,26","281,30","289,50","279,76","53,71M","1,96%"
"09.09.2022","299,68","291,67","299,85","291,24","54,47M","3,60%"
"12.09.2022","304,42","300,72","305,49","300,40","48,68M","1,58%"
"13.09.2022","292,13","292,90","297,40","290,40","68,23M","-4,04%"
"14.09.2022","302,61","292,24","306,00","291,64","72,63M","3,59%"
"15.09.2022","303,75","301,83","309,12","300,72","64,80M","0,38%"
"16.09.2022","303,35","299,61","303,71","295,60","87,09M","-0,13%"
"19.09.2022","309,07","300,09","309,84","297,80","60,23M","1,89%"
"20.09.2022","308,73","306,91","313,33","305,58","61,64M","-0,11%"
"21.09.2022","300,80","308,29","313,80","300,63","62,56M","-2,57%"
"22.09.2022","288,59","299,86","301,29","285,82","70,55M","-4,06%"
"23.09.2022","275,33","283,09","284,50","272,82","63,75M","-4,59%"
"26.09.2022","276,01","271,83","284,09","270,31","58,08M","0,25%"
"27.09.2022","282,94","283,84","288,67","277,51","61,93M","2,51%"
"28.09.2022","287,81","283,08","289,00","277,57","54,67M","1,72%"
"29.09.2022","268,21","282,76","283,65","265,78","77,62M","-6,81%"
"30.09.2022","265,25","266,14","275,57","262,47","67,73M","-1,10%"
"03.10.2022","242,40","254,50","255,16","241,01","98,36M","-8,61%"
"04.10.2022","249,44","250,52","257,50","242,01","109,04M","2,90%"
"05.10.2022","240,81","245,01","246,67","233,27","86,07M","-3,46%"
"06.10.2022","238,13","239,44","244,58","235,35","69,30M","-1,11%"
"07.10.2022","223,07","233,93","234,57","222,02","83,92M","-6,32%"
"10.10.2022","222,96","223,93","226,99","218,36","67,40M","-0,05%"
"11.10.2022","216,50","220,95","225,75","215,00","77,01M","-2,90%"
"12.10.2022","217,24","215,33","219,30","211,51","66,46M","0,34%"
"13.10.2022","221,72","208,30","222,99","206,22","90,93M","2,06%"
"14.10.2022","204,99","224,01","226,26","204,16","92,89M","-7,55%"
"17.10.2022","219,35","210,04","221,86","209,45","78,73M","7,01%"
"18.10.2022","220,19","229,50","229,82","217,25","75,04M","0,38%"
"19.10.2022","222,04","219,80","222,93","217,78","60,78M","0,84%"
"20.10.2022","207,28","208,28","215,55","202,00","117,21M","-6,65%"
"21.10.2022","214,44","206,41","214,66","203,80","75,71M","3,45%"
"24.10.2022","211,25","205,82","213,50","198,59","99,92M","-1,49%"
"25.10.2022","222,41","210,10","224,35","210,00","96,51M","5,29%"
"26.10.2022","224,64","219,40","230,60","218,20","84,75M","1,00%"
"27.10.2022","225,09","229,77","233,81","222,85","60,68M","0,20%"
"28.10.2022","228,52","225,40","228,86","216,35","68,72M","1,52%"
"31.10.2022","227,54","226,19","229,85","221,94","61,55M","-0,43%"
"01.11.2022","227,82","234,05","237,40","227,28","62,31M","0,12%"
"02.11.2022","214,98","226,04","227,87","214,82","62,53M","-5,64%"
"03.11.2022","215,31","211,36","221,20","210,14","56,21M","0,15%"
"04.11.2022","207,47","222,60","223,80","203,08","98,62M","-3,64%"
"07.11.2022","197,08","208,65","208,90","196,66","93,10M","-5,01%"
"08.11.2022","191,30","194,02","195,20","186,75","128,80M","-2,93%"
"09.11.2022","177,59","190,77","195,89","177,12","127,06M","-7,17%"
"10.11.2022","190,72","189,90","191,00","180,03","132,70M","7,39%"
"11.11.2022","195,97","186,00","196,52","182,59","113,87M","2,75%"
